Package	Version
abind	1.4-5
acepack	1.4.1
AlphaSimR	1.2.1
AnnotationDbi	1.56.1
AnnotationFilter	1.18.0
aomisc	0.647
ape	5.6-2
arrow	8.0.0
askpass	1.1
assertthat	0.2.1
backports	1.4.1
base64enc	0.1-3
BH	1.78.0-0
Biobase	2.54.0
BiocFileCache	2.2.0
BiocGenerics	0.40.0
BiocIO	1.4.0
BiocManager	1.30.18
BiocParallel	1.28.3
biomaRt	2.50.0
Biostrings	2.62.0
biovizBase	1.42.0
bit	4.0.4
bit64	4.0.5
bitops	1.0-7
blob	1.2.3
boot	1.3-28
brew	1.0-7
brio	1.1.3
broom	1.0.0
BSgenome	1.62.0
bslib	0.4.0
cachem	1.0.6
callr	3.7.1
car	3.1-0
carData	3.0-5
caret	6.0-92
cellranger	1.1.0
checkmate	2.1.0
class	7.3-20
cli	3.3.0
clipr	0.8.0
cluster	2.1.3
codetools	0.2-18
colorspace	2.0-3
commonmark	1.8.0
conflicted	1.1.0
conquer	1.3.0
cpp11	0.4.2
crayon	1.5.1
credentials	1.3.2
crul	1.2.0
curl	4.3.2
data.table	1.14.2
DBI	1.1.3
dbplyr	2.2.1
DelayedArray	0.20.0
deldir	1.0-6
desc	1.4.1
devtools	2.4.4
dials	1.0.0
DiceDesign	1.9
dichromat	2.0-0.1
diffobj	0.3.5
digest	0.6.29
downlit	0.4.2
dplyr	1.0.9
drc	3.0-1
dtplyr	1.2.1
e1071	1.7-11
ellipsis	0.3.2
ensembldb	2.18.1
evaluate	0.15
fansi	1.0.3
farver	2.1.1
fastmap	1.1.0
filelock	1.0.2
fontawesome	0.3.0
forcats	0.5.1
foreach	1.5.2
foreign	0.8-82
formatR	1.12
Formula	1.2-4
fs	1.5.2
furrr	0.3.0
futile.logger	1.4.3
futile.options	1.0.1
future	1.27.0
future.apply	1.9.0
gargle	1.2.0
generics	0.1.3
GenomeInfoDb	1.30.0
GenomeInfoDbData	1.2.7
GenomicAlignments	1.30.0
GenomicFeatures	1.46.1
GenomicRanges	1.46.1
gert	1.5.0
GGally	2.1.2
gganimate	1.0.7
ggbio	1.42.0
ggiraph	0.8.2
ggplot2	3.3.6
gh	1.3.0
gifski	1.6.6-1
gistr	0.9.0
gitcreds	0.1.1
glmnet	4.1-2
globals	0.15.1
glue	1.6.2
